Device,          OpenMP, Kokkos, OpenACC, CUDA, OpenCL, SYCL
Cascade Lake, 202842.536, 163108.150, 68482.602, X, 97957.454, 100096.151
Skylake, 211099.828, 180202.087, 70606.783, X, 113158.053, 109881.877
Knights Landing, 448244.090, 315326.257, 321795.731, X, 286756.521, 262983.201
Rome, 304928.830, 481260.320, 162005.865, X, 64852.296, 287036.063
Power 9, 224276.466, 240984.365, 158143.494, X, X, 200469.934
ThunderX2, 229165.437, 226480.221, X, X, 93465.126, 216743.562
Graviton 2, 172526.672, 169131.342, X, X, X, 54308.789
A64FX, 804313.845, 595403.436, X, X, X, 147456.387
P100, 552081.115, 558577.029, 551192.737, 551427.495, 552291.631, 526155.578
V100, 788112.897, 830853.450, 830136.583, 836854.963, X, 773562.459
A100, 1160713.298, 1342707.65, 1361333.511,  1370221.139, 1355568.033, 1358183.472
Turing, 533388.242, 554612.599, 554957.342, 555659.232, 553875.251, 529564.685
Radeon VII, 487516.379, 780752.483, 98985.699, X, 820833.250, 808417.157
MI50, 728689.083, 707814.168, 88276.358, X, 778192.582, X
IrisPro Gen9, 26805.005, X, X, X, 27323.102, 27436.326
