Device,     OpenMP, Kokkos, CUDA,  OpenACC, OpenCL
Skylake,    376.2,  462.7,  X,     877.2,   X
KNL,        249.8,  665.8,  X,     698.5,   X 
Power 9,    376.4,  544.2,  X,     767.7,   X
Naples,     327.4,  394.8,  X,     337.0,   X
ThunderX2,  457.1,  772.4,  X,     X,       X
Ampere,    1309.2,  1452.4, X,     X,       X
NEC Aurora, 323.3,  X,      X,     X,       X
K20,       9735.7, 1296.9, 592.0, X,       572.2
P100,       226.5,  162.6,  139.0, 133.2,   148.7 
V100,       X,      108.2,   88.8,  90.1,    97.9 
Turing,     X,      210.6,  213.0, 198.8,   213.3 
Radeon VII, X,      X,      X,     X,       105.6 

