Device,       OpenMP, Kokkos, CUDA,  OpenACC, OpenCL
Skylake,       8.0,   13.0,   X,     X,       X 
KNL,          23.8,   28.1,   X,     X,       X
Power 9,       8.3,   11.1,   X,     X,       X
Naples,       14.5,   16.6,   X,     X27.0,    X
ThunderX2,    12.6,   13.5,   X,     X,       X
Ampere,       37.4,   43.3,   X,     X,       X
NEC Aurora, 2784.0,      X,   X,     X,       X
K20,        X,        52.7,   41.6,  92.5,    29.7
P100,       X,         9.5,    4.4,   8.9,     3.9
V100,       X,         6.2,    3.1,   3.3,     3.3
Turing,     X,         9.3,    6.9,   8.7,     6.7
Radeon VII, X,        X,      X,     X,        3.7
