Architecture, Sockets, Cores, Clock Speed, DP FLOPs, Mem BW, Balance, Category
Skylake,    2, 28, 2.1,  3.76,  256, 117.5, CPU
KNL,        1, 64, 1.3,  2.66,  490, 43.4, CPU
Power 9,    2, 20, 3.2,  1.02,  340, 24.0, CPU
Naples,     2, 32, 2.5,  1.28,  288, 35.6, CPU
ThunderX2,  2, 32, 2.5,  1.28,  288, 35.6, CPU
Ampere,     1, 32, 3.3,  0.21,  159, 10.6, CPU
NEC Aurora, 1,  8, 1.4,  2.15, 1200, 14.3, CPU
K20,        1, 13, 0.71, 1.18,  208, 45.4, GPU
P100,       1, 56, 1.13, 4.04,  732, 44.2, GPU
V100,       1, 80, 1.37, 7.01,  900, 62.3, GPU
Turing,     1, 68, 1.25, 0.37,  616, 4.8, GPU
Radeon VII, 1, 60, 1.40, 3.50, 1000, 28.0, GPU
