Device, Unportable, Single Target, Multi-Target, Consistent (30\%), Inconsistent, Consistent (70\%)
A,      100,        100,           100,          30,                10,           70
B,      0,          10,            10,           30,                20,           70
C,      0,          10,            100,          30,                30,           70
D,      0,          10,            10,           30,                40,           70
E,      0,          10,            100,          30,                50,           70
F,      0,          10,            10,           30,                60,           70
G,      0,          10,            100,          30,                70,           70
H,      0,          10,            10,           30,                80,           70
I,      0,          10,            100,          30,                90,           70
J,      0,          10,            10,           30,                100,          70
